Date,Date,Date,Joe Biden,Donald Trump
0,0,2021-04-22,32.28064072310799,43.5078024382528
1,1,2021-04-23,32.28064072310799,43.5078024382528
2,2,2021-04-24,32.28064072310799,43.5078024382528
3,3,2021-04-25,32.28064072310799,43.5078024382528
4,4,2021-04-26,32.28064072310799,43.5078024382528
5,5,2021-04-27,32.28064072310799,43.5078024382528
6,6,2021-04-28,32.28064072310799,43.507802438252796
7,7,2021-04-29,32.28064072310799,43.5078024382528
8,8,2021-04-30,32.28064072310799,43.50780243825281
9,9,2021-05-01,32.28064072310799,43.5078024382528
10,10,2021-05-02,32.28064072310799,43.507802438252796
11,11,2021-05-03,32.28064072310799,43.507802438252796
12,12,2021-05-04,32.28064072310799,43.5078024382528
13,13,2021-05-05,32.28064072310799,43.5078024382528
14,14,2021-05-06,32.28064072310799,43.50780243825281
15,15,2021-05-07,32.28064072310799,43.5078024382528
16,16,2021-05-08,32.28064072310799,43.5078024382528
17,17,2021-05-09,32.280640723107986,43.5078024382528
18,18,2021-05-10,32.28064072310799,43.50780243825281
19,19,2021-05-11,32.280640723108,43.50780243825281
20,20,2021-05-12,32.28064072310799,43.50780243825281
21,21,2021-05-13,32.28064072310799,43.50780243825281
22,22,2021-05-14,32.280640723107986,43.5078024382528
23,23,2021-05-15,32.39362587068457,43.7582926157137
24,24,2021-05-16,32.49573389885477,43.984668016774286
25,25,2021-05-17,32.58829415149316,44.18987582157448
26,26,2021-05-18,32.67243194351033,44.376410874239404
27,27,2021-05-19,32.74910629667938,44.546399343909684
28,28,2021-05-20,32.819139589482795,44.70166445900465
29,29,2021-05-21,32.88324107292072,44.843778642207276
30,30,2021-05-22,32.942025683696016,44.974105219646084
31,31,2021-05-23,32.996029216786454,45.0938320587704
32,32,2021-05-24,33.045720653903594,45.20399890077345
33,33,2021-05-25,33.09151225123907,45.30551972531373
34,34,2021-05-26,33.133767847913845,45.39920117050198
35,35,2021-05-27,33.17280975107208,45.48575779728242
36,36,2021-05-28,33.162545313359786,45.59938794937355
37,37,2021-05-29,33.15304020554697,45.70461211037352
38,38,2021-05-30,33.14422945671525,45.80214952624055
39,39,2021-05-31,33.13605477647409,45.89264548764978
40,40,2021-06-01,33.12846372634611,45.976680502986255
41,41,2021-06-02,33.121409012105175,46.05477813235748
42,42,2021-06-03,33.114847876902246,46.12741170585619
43,43,2021-06-04,33.1087415787678,46.195010107754094
44,44,2021-06-05,33.10305493906424,46.257962775256644
45,45,2021-06-06,33.097755950850996,46.31662403401021
46,46,2021-06-07,33.1380684757174,46.5149132181576
47,47,2021-06-08,33.17567338510982,46.69988418755424
48,48,2021-06-09,33.210769530188855,46.872515050977135
49,49,2021-06-10,33.24353908757388,47.03370189849617
50,50,2021-06-11,33.27414920586174,47.18426690036774
51,51,2021-06-12,33.30275346041308,47.32496546283506
52,52,2021-06-13,33.32949314216896,47.456492567557646
53,53,2021-06-14,33.35449840236721,47.57948840224022
54,54,2021-06-15,33.377889271783324,47.69454337407319
55,55,2021-06-16,33.39977657040799,47.802202584253166
56,56,2021-06-17,33.42026272119729,47.90296983065596
57,57,2021-06-18,33.43944247961492,47.99731119630797
58,58,2021-06-19,33.45740358906781,48.085658273341735
59,59,2021-06-20,33.47422737096494,48.1684110653763
60,60,2021-06-21,33.489989256964456,48.245940605533484
61,61,2021-06-22,33.50475926998119,48.31859132241719
62,62,2021-06-23,33.518602459678746,48.38668318221072
63,63,2021-06-24,33.53157929744306,48.45051363147254
64,64,2021-06-25,33.543746035210546,48.51035936213927
65,65,2021-06-26,33.53890934002764,48.42594607974128
66,66,2021-06-27,33.53437320652875,48.34677840355845
67,67,2021-06-28,33.53011837105768,48.272520131206356
68,68,2021-06-29,33.52612687376791,48.202857815271514
69,69,2021-06-30,33.52238196228987,48.13749908204651
70,70,2021-07-01,33.518868003441625,48.07617109064451
71,71,2021-07-02,33.515570402209086,48.01861911898814
72,72,2021-07-03,33.51247552730746,47.96460526465614
73,73,2021-07-04,33.50957064270984,47.91390724987557
74,74,2021-07-05,33.506843844595195,47.866317321093796
75,75,2021-07-06,33.50428400322501,47.821641234571246
76,76,2021-07-07,33.50188070930937,47.77969732032519
77,77,2021-07-08,33.49962422446773,47.74031561753845
78,78,2021-07-09,33.49750543542981,47.703337075241095
79,79,2021-07-10,33.45986631796418,48.010203592476124
80,80,2021-07-11,33.424519614259935,48.29838037747543
81,81,2021-07-12,33.39132382093806,48.569021087710986
82,82,2021-07-13,33.36014638971414,48.823206371007146
83,83,2021-07-14,33.33086313496009,49.06194869560839
84,84,2021-07-15,33.30335768342319,49.2861968365435
85,85,2021-07-16,33.2775209627691,49.49684004546393
86,86,2021-07-17,33.25325072591498,49.694711928690076
87,87,2021-07-18,33.23045110838782,49.88059405600718
88,88,2021-07-19,33.20903221618521,50.05521932077982
89,89,2021-07-20,33.188909741833285,50.21927507017849
90,90,2021-07-21,33.17000460653296,50.373406022711094
91,91,2021-07-22,33.152242626463455,50.51821698880533
92,92,2021-07-23,33.13555420147156,50.65427540888054
93,93,2021-07-24,33.119874024521565,50.78211372216371
94,94,2021-07-25,33.1051408104113,50.90223157842915
95,95,2021-07-26,33.09129704238028,51.01509790386751
96,96,2021-07-27,33.07828873534424,51.121152831401886
97,97,2021-07-28,33.066065214589486,51.2208095049619
98,98,2021-07-29,33.05457890885085,51.31445576649103
99,99,2021-07-30,33.04378515677919,51.40245573378978
100,100,2021-07-31,33.03364202587997,51.48515127668463
101,101,2021-08-01,33.02411014307305,51.56286339845048
102,102,2021-08-02,33.01515253608713,51.635893528900326
103,103,2021-08-03,33.00673448495978,51.70452473508407
104,104,2021-08-04,33.02074234143992,51.58371865886882
105,105,2021-08-05,33.0339067885412,51.47018628493963
106,106,2021-08-06,33.04627875539135,51.36348839205723
107,107,2021-08-07,33.057906078556734,51.26321242974362
108,108,2021-08-08,33.06883369183648,51.168970881467075
109,109,2021-08-09,33.079103804175716,51.080399730288356
110,110,2021-08-10,33.08875606646869,50.99715702032287
111,111,2021-08-11,33.097827727969324,50.9189215078304
112,112,2021-08-12,33.10635378297762,50.84539139616716
113,113,2021-08-13,33.114367108425014,50.7762831492267
114,114,2021-08-14,33.121898592939864,50.71133037835808
115,115,2021-08-15,33.128977257934956,50.65028279808697
116,116,2021-08-16,33.13563037122308,50.592905246275734
117,117,2021-08-17,33.14188355363313,50.53897676464918
118,118,2021-08-18,33.147760879067775,50.48828973588031
119,119,2021-08-19,32.89748366415899,50.69629093320346
120,120,2021-08-20,32.662247307638836,50.89179192528523
121,121,2021-08-21,32.44114686129305,51.07554479941472
122,122,2021-08-22,32.23333194527072,51.24825629202906
123,123,2021-08-23,32.038003443492734,51.41059053510416
124,124,2021-08-24,31.854410400824563,51.563171634862286
125,125,2021-08-25,31.68184710950411,51.706586093193074
126,126,2021-08-26,31.519650373112523,51.8413850815215
127,127,2021-08-27,31.367196937120617,51.96808657623769
128,128,2021-08-28,31.223901075737622,52.08717736422644
129,129,2021-08-29,31.089212325438325,52.19911492649485
130,130,2021-08-30,30.962613356150236,52.30432920739293
131,131,2021-08-31,30.84361797164901,52.403224276451475
132,132,2021-09-01,30.731769231239696,52.496179889421285
133,133,2021-09-02,30.626637685296334,52.583552954686645
134,134,2021-09-03,30.655134401868573,52.94745865948818
135,135,2021-09-04,30.68191982729364,53.28951101815249
136,136,2021-09-05,30.707096775205684,53.61102297029126
137,137,2021-09-06,30.73076187678968,53.913228505069085
